UCarea,t2,rmsB,rmsTrace,traceIneq,detIneq
54,-0.17,8.894176512877805e-14,3.4722541329089196e-12,0.0008264786465932516,0.14026673899155678
54,-0.16,6.715492152799041e-14,2.6058830703842065e-12,0.0005862505805206376,0.09948422070967436
54,-0.15,6.753029239781126e-14,2.6439510094735635e-12,0.00040967082960948945,0.06951325476968909
54,-0.14,3.883193636071066e-14,1.5236470224008426e-12,0.0002799626310577405,0.04750118977896846
54,-0.13,6.643864715444775e-14,2.6190152840986777e-12,0.0001852464145574408,0.03142922466016313
54,-0.12,8.207396788173227e-14,3.2083514006624014e-12,0.00011695659102088873,0.01984237850619358
54,-0.11,5.838635579113349e-14,2.2838486361454467e-12,0.00006881832559445186,0.011675155608982057
54,-0.1,1.0404176179541621e-13,4.115691851536969e-12,0.00003617026572524302,0.00613625199129561
54,-0.090,5.934289431690173e-14,2.343997867127016e-12,0.000015506656045245425,0.0026306626187569265
54,-0.080,7.575613521628615e-14,2.9805753789978705e-12,4.161855159032522e-6,0.0007060435632318048
54,-0.070,6.282847870924351e-14,2.47254089254928e-12,8.923504759298224e-8,0.000015138369856587768
54,-0.060,6.885462013887726e-14,2.7381039577475247e-12,1.7038256348548088e-6,0.00028904745550374997
54,-0.050,6.9774280850455e-14,2.7505100793320565e-12,7.768753223674429e-6,0.0013179430543378164
54,-0.040,7.202999273365531e-14,2.8252482750352175e-12,0.000017312236844103655,0.002936977211281153
54,-0.030,4.0608369363962366e-14,1.6018747309166771e-12,0.00002956621154238202,0.005015863769647527
54,-0.020,5.2676486391282536e-14,2.0797425548539496e-12,0.000043920458257275056,0.007451093830315269
54,-0.01,3.817172805820384e-14,1.5000725041738364e-12,0.0000598879857814619,0.010160061656849146
54,0,2.0880778276836088e-13,8.256387469830406e-12,0.00007707866824742828,0.013076591951111318
96,-0.25,1.2118880339189664e-12,4.951189745620154e-11,0.014392468583149303,4.371902713919239
96,-0.24,2.2182752133477775e-12,8.729522714092617e-11,0.007405297495631639,2.2416545487267845
96,-0.23,1.0323380698396912e-12,4.0743403286819035e-11,0.00427630686758471,1.292461351549166
96,-0.22,4.031172223566145e-13,1.6069127681895055e-11,0.002649353109756009,0.8000845246783389
96,-0.21,2.674958190801848e-13,1.0511510032389903e-11,0.001717738021473798,0.5185025259123964
96,-0.20,1.552191823898519e-13,6.369340132478343e-12,0.001147546117209864,0.34629033346729216
96,-0.19,1.2794687159206746e-13,5.000776771271826e-12,0.0007814531172527932,0.23577279445134638
96,-0.18,2.3342318356179836e-13,9.196726140534118e-12,0.0005380062810319556,0.16230251983327157
96,-0.17,3.716910916628713e-13,1.4661672767024468e-11,0.0003718947681550878,0.11218167567928217
96,-0.16,1.654446774024031e-13,6.4430305507715565e-12,0.00025644755354997477,0.07735267720611398
96,-0.15,8.633300787901585e-14,3.521490424327917e-12,0.00017523312236724362,0.0528536950831771
96,-0.14,2.5482049949218356e-13,1.0010959126073574e-11,0.00011774137844025337,0.03551205365102697
96,-0.13,1.9359831787133478e-13,7.74960993457912e-12,0.00007703565360671173,0.023234300670105994
96,-0.12,2.880638701139446e-13,1.1403558192715398e-11,0.0000484146465253043,0.014601866857149282
96,-0.11,1.4895941212638959e-13,5.889105605122139e-12,0.000028618960874564177,0.00863139876381093
96,-0.1,1.1986320130628672e-13,4.60883988399205e-12,0.000015344247791867646,0.004627751613621651
96,-0.09,1.9996743452348295e-13,7.90549119932236e-12,6.933495534232178e-6,0.002091100238136768
96,-0.08,2.22194345691443e-13,8.771327757170531e-12,2.177435687217158e-6,0.000656699847006177
96,-0.07,2.909201546070784e-13,1.1518565523979074e-11,1.8208029642445916e-7,0.00005491412866089011
96,-0.06,1.521136132900003e-13,5.9626761536203005e-12,2.7900451675007385e-7,0.00008414579158631043
96,-0.05,1.1656835067792985e-13,4.659142996147507e-12,1.9634656432660686e-6,0.0005921678684377084
96,-0.04,1.778878885201318e-13,7.014961303514625e-12,4.851018475387761e-6,0.0014630362530588502
96,-0.03,1.487111732486913e-13,5.8125009324578e-12,8.646646296062012e-6,0.0026077783604862162
96,-0.02,1.3356303029901215e-13,5.2220915473150805e-12,0.000013122501206688446,0.00395767909235952
96,-0.01,1.5436042439627529e-13,6.102036641959178e-12,0.000018101656190188336,0.00545938030152154
96,0,4.550770021319448e-13,1.7908244634304266e-11,0.00002344611290085032,0.007071263956115573
